time,open,high,low,close,volume
2/8/2025,96447.9,96847.82,95717.84,96544.97,62373810394
2/7/2025,96755.94,100023,95661.12,96503.93,67990905957
2/6/2025,96806.37,99108.31,95885.57,96586.85,60696114351
2/5/2025,97979.89,98876.15,96296.48,96594.39,81517859048
2/4/2025,101443,101613,96332.98,98027.99,1.01E+11
2/3/2025,97418.2,102289,92692.13,101371,1.31E+11
2/2/2025,100604,101386,96763.02,97584.89,53761921060
2/1/2025,102318,102760,100288,100649,53430949037
1/31/2025,104840,105807,101632,102391,76033677212
1/30/2025,103543,106208,103396,104793,75054210026
1/29/2025,101389,104646,101376,103705,56703543831
1/28/2025,102543,103556,100333,101344,81875109431
1/27/2025,102875,103225,97785.26,101986,77302679559
1/26/2025,104772,105393,102623,102623,28989514906
1/25/2025,104775,105232,104145,104816,52193881184
1/24/2025,103849,106948,102800,104811,1.15E+11
1/23/2025,103723,106461,101276,104039,88297171089
1/22/2025,106011,106189,103417,103720,87286860084
1/21/2025,101743,107133,100480,106198,1.39E+11
1/20/2025,100825,109079,99832.98,101926,1.48E+11
1/19/2025,104401,106354,99673.27,101378,71704147686
1/18/2025,104227,104959,102360,104415,79851654022
1/17/2025,100045,105828,100044,104119,80029703797
1/16/2025,100491,100616,97514.91,100050,74992466216
1/15/2025,96506.98,100638,96506.98,100280,70069304046
1/14/2025,94523.94,97316.06,94354.8,96624.15,89162525731
1/13/2025,94583.86,95759.98,90000.02,94474.29,60704225079
1/12/2025,94635.04,95314.07,93804.15,94489.93,26704832659
1/11/2025,94705.81,95009.18,93900.15,94595.97,60600829825
1/10/2025,92592.4,95738.27,92418.35,94749.98,84405720218
1/9/2025,94962.47,95340.9,91245.71,92406.11,85716154824
1/8/2025,96712,97268.67,92991.31,95059.96,85737267513
1/7/2025,102109,102444,96206.19,96916.64,72033067739
1/6/2025,98457.51,102440,97983.22,102222,53401942771
1/5/2025,98216.11,98757.56,97339.16,98394.57,33142539324
1/4/2025,98209.88,98727.99,97560.78,98259.43,47085373031
1/3/2025,96981.54,98944.63,96123.56,98126.64,58117695883
1/2/2025,94474.31,97820.94,94459.99,96949.18,52199445640
1/1/2025,93650.83,95074.46,93070.57,94610.14,51859876688
12/31/2024,92728.07,96016.01,92161.96,93647.01,75351850924
12/30/2024,93610.59,94951.18,91603.06,92811.03,58331914972
12/29/2024,95233.87,95272.03,93069.72,93659.56,35660027972
12/28/2024,94394.88,95394.07,94098.12,95204.07,54047947733
12/27/2024,95848.07,97199.96,93527.75,94452.57,66231541526
12/26/2024,99792,99940.03,95249.51,95830.42,58620968527
12/25/2024,98612.37,99436,97676.75,99436,62036161614
12/24/2024,94736.64,99280.01,93712.18,98805.9,76323175683
12/23/2024,95181.3,96433.71,92587.99,94748.02,74389445086
12/22/2024,97178.72,97408.04,94288.04,95136.87,60172030056
12/21/2024,97696.08,99490.36,96639.15,97253.03,1.03E+11
12/20/2024,97611.97,98200.45,92450,97691.36,1.40E+11
12/19/2024,100573,102672,96026.57,97874.66,1.29E+11
12/18/2024,106053,106444,100172,100368,1.22E+11
12/17/2024,105999,108239,105549,106052,1.24E+11
12/16/2024,104608,107768,103425,106010,1.17E+11
12/15/2024,101478,104921,101316,104621,74032778622
12/14/2024,101401,102589,100706,101364,90624467771
12/13/2024,100068,101818,99295.32,101371,1.10E+11
12/12/2024,101062,102497,99422.23,100041,1.19E+11
12/11/2024,96716.03,101825,95777.21,101074,1.38E+11
12/10/2024,97052.54,98128.02,94371.1,96628.01,1.66E+11
12/9/2024,100968,100968,94947.98,97422.43,1.07E+11
12/8/2024,99907.98,101215,98843.96,101215,66927756251
12/7/2024,99820.38,100428,99055.93,99699.99,1.13E+11
12/6/2024,96580.04,101861,96520.48,99798.48,1.88E+11
12/5/2024,98519.93,103484,93912.02,97013.92,1.85E+11
12/4/2024,95903.26,98975.08,94814.65,98730.99,1.05E+11
12/3/2024,95836.05,96238.1,93618.44,95970.93,1.06E+11
12/2/2024,97183.98,98051.18,94625.38,95807.6,85292808200
12/1/2024,96505.88,97767.64,95776.26,97236.3,53606873252
11/30/2024,97317.53,97329.92,96137.48,96436.01,75686925476
11/29/2024,95627.24,98564.62,95432.02,97383.7,73540702253
11/28/2024,95850.02,96560.02,94688,95632.03,91367563527
11/27/2024,91826.51,97208.23,91808,95899.86,1.06E+11
11/26/2024,93064.01,94915.39,90860.03,91993.22,1.30E+11
11/25/2024,97736.05,98746.64,92896.18,93079.67,81967757600
11/24/2024,97693.54,98515.16,95759.99,97867.46,59912158588
11/23/2024,98788.34,98874.93,97191.99,97628.02,83162177004
11/22/2024,98311.38,99498.52,97252,98851.49,1.21E+11
11/21/2024,94267.41,98789.88,94111.91,98425.93,1.24E+11
11/20/2024,92212.04,94819.96,91505.99,94174.71,1.04E+11
11/19/2024,90406.06,93836.94,90406.06,92119.47,1.04E+11
11/18/2024,89782.53,92532,89453.11,90549.34,78257155574
11/17/2024,90642.34,91447.99,88768.66,89763.59,59020288900
11/16/2024,91135.39,91735.96,90131.55,90543.67,87437209942
11/15/2024,87681.91,91741.72,87140.65,90949.94,1.16E+11
11/14/2024,90224.2,91637.55,86938.85,87347.45,1.53E+11
11/13/2024,88144.01,93243.92,86204.37,90300.02,1.61E+11
11/12/2024,88213.99,89800.23,85175.97,88164.77,2.01E+11
11/11/2024,80486.91,89424.41,80381.97,88627.98,1.16E+11
11/10/2024,76539.97,81233.28,76539.97,80409.97,71609202780
11/9/2024,76424.82,76893.95,75838,76615.99,57291171256
11/8/2024,75927.95,77115.59,75638.04,76544.78,74504748582
11/7/2024,75597.01,76751.96,74433.97,75919.31,1.03E+11
11/6/2024,69521.94,76097.95,69439.38,75567.57,1.37E+11
11/5/2024,67853.77,70435.69,67481.95,69348.54,59336565217
11/4/2024,68670.68,69346.28,66948.02,67792.92,48962107476
11/3/2024,69316,69373.64,67593.72,68832.86,36194109864
11/2/2024,69608,69896.03,69086.03,69319.96,50326627050
11/1/2024,70346.9,71520.59,68866.03,69531.96,64764647004
10/31/2024,72368.05,72625.19,69788.84,70340.01,53854409839
10/30/2024,72679.98,72865.93,71511.03,72359.86,71130395353
10/29/2024,69868.02,73534.9,69787.87,72782.82,69264084198
10/28/2024,68033.02,70130.8,67651.1,69892.45,37114871114
10/27/2024,67082.64,68300.39,66857.06,68029.34,24371770054
10/26/2024,66651.97,67363.21,66542.03,67102.01,55642452451
10/25/2024,68233.69,68680.88,65750.97,66637.8,47280935129
10/24/2024,66649.97,68704.49,66550.03,68234.05,50123672098
10/23/2024,67405.32,67405.32,65269.97,66745.54,46287674514
10/22/2024,67386.24,67781.79,66698,67393.99,55116769379
10/21/2024,68997.53,69414.08,66865.98,67440.04,45600677050
10/20/2024,68393.94,69315.86,68114.03,68987.76,21401472338
10/19/2024,68471.68,68639.99,68042.04,68394.04,39854632470
10/18/2024,67399.86,68963.99,67194.06,68465.29,54278095716
10/17/2024,67701.14,67923.93,66803.61,67363.67,51428967059
10/16/2024,67045.13,68274.26,66793.33,67657.43,85047855180
10/15/2024,66091.69,67759.99,64989.97,66984.04,1.17E+11
10/14/2024,62827.65,66419.87,62484.15,66085.97,99886309611
10/13/2024,63279.91,63279.91,62055.98,62806.34,79286610370
10/12/2024,62575.79,63440.44,62499.99,63216.04,95040455894
10/11/2024,60290.3,63270.59,60113.2,62410.61,97531320750
10/10/2024,60603.9,61300.02,59017,60260.02,93419872143
